Year,District,Wheat_Yield_t_ha,year,precipitation_flowering,precipitation_growth,precipitation_harvest,precipitation_sowing,LST_flowering,LST_growth,LST_harvest,LST_sowing
2001,Purba Medinipur,2.85,2001,0.8764285714285714,0.04408695652173913,1.6598387096774192,0.0,29.921178571428573,24.51858695652174,32.66554838709678,26.568548387096776
2002,Purba Medinipur,2.88,2002,0.4381785714285714,0.19854347826086957,1.3240967741935485,0.03151612903225806,29.526928571428574,23.90282608695652,25.443967741935484,25.131225806451614
2003,Purba Medinipur,2.8,2003,1.7703928571428573,0.2781304347826087,0.8120645161290322,0.17409677419354835,28.116071428571427,20.340521739130434,29.616129032258065,24.902677419354838
2004,Purba Medinipur,2.92,2004,0.26413793103448274,0.22147826086956524,1.2118709677419355,0.14219354838709677,29.981517241379308,23.28036956521739,31.315838709677422,26.163677419354837
2005,Purba Medinipur,2.9,2005,0.9349642857142857,0.2127391304347826,1.157741935483871,0.005548387096774193,29.54275,24.339413043478263,30.09341935483871,24.15351612903226
2006,Purba Medinipur,2.82,2006,0.5038571428571428,0.23141304347826086,0.7757741935483871,0.05658064516129032,30.30325,24.04886956521739,32.15625806451613,26.42535483870968
2007,Purba Medinipur,2.85,2007,0.39782142857142855,0.9057391304347826,0.9705483870967742,0.9170967741935484,27.54782142857143,23.613130434782608,30.864290322580647,25.304903225806452
2008,Purba Medinipur,2.87,2008,0.3311379310344827,0.18567391304347822,1.7788709677419354,0.053580645161290325,28,23.963913043478261,31.0,25.0
2009,Purba Medinipur,2.83,2009,0.08596428571428572,0.38032608695652176,1.046483870967742,1.408516129032258,29.50110714285714,24.633152173913043,32.12174193548387,25.67322580645161
2010,Purba Medinipur,2.88,2010,0.8451785714285714,0.1077391304347826,0.8257096774193549,0.4220322580645161,28.93585714285714,23.682478260869566,32.046290322580646,25.63248387096774
2011,Purba Medinipur,2.86,2011,0.7050357142857143,0.050586956521739126,1.2510645161290324,0.008838709677419353,28.678571428571427,23.257521739130436,30.452806451612904,26.552709677419355
2012,Purba Medinipur,2.9,2012,0.19006896551724137,1.3029782608695653,1.8649032258064515,0.2571290322580645,28.72096551724138,22.34915217391304,31.265677419354837,25.420032258064516
2013,Purba Medinipur,2.92,2013,0.5056428571428572,0.32321739130434785,0.36793548387096775,0.36522580645161296,28.97457142857143,23.7475,32.440935483870966,24.260322580645163
2014,Purba Medinipur,2.87,2014,1.1597857142857142,0.3086521739130435,0.3455483870967742,0.16493548387096776,25.84375,23.460282608695653,31.91758064516129,25.259548387096775
2015,Purba Medinipur,2.89,2015,0.16910714285714287,0.42439130434782607,1.672967741935484,0.18061290322580645,28.362107142857145,22.69878260869565,29.657,26.76822580645161
2016,Purba Medinipur,2.83,2016,2.1134827586206897,0.0006304347826086957,1.169225806451613,0.0,23.71806896551724,24.044021739130436,31.559516129032257,24.96583870967742
2017,Purba Medinipur,2.9,2017,2.450142857142857,0.07917391304347826,0.3566451612903226,1.7968064516129032,27.74282142857143,24.05432608695652,29.347225806451615,24.74683870967742
2018,Purba Medinipur,2.92,2018,0.0,0.3651304347826087,2.053258064516129,0.5667096774193549,29.297071428571428,22.566826086956524,30.228032258064516,25.408096774193545
2019,Purba Medinipur,2.88,2019,2.37225,0.05956521739130434,2.629225806451613,0.08090322580645161,26.497964285714286,23.134934782608692,28.16722580645161,25.765967741935484
2020,Purba Medinipur,2.89,2020,0.2245172413793103,0.7423478260869566,1.7344193548387095,0.8025483870967742,26.99748275862069,22.70939130434783,30.379580645161287,25.905935483870966
2021,Purba Medinipur,2.91,2021,0.4840357142857143,0.15347826086956523,0.2705483870967742,1.0965806451612903,29.264035714285715,23.957695652173914,31.39532258064516,24.85522580645161
2022,Purba Medinipur,2.87,2022,0.941,0.5481304347826087,0.20587096774193547,0.23170967741935486,27.43364285714286,23.344391304347827,29.75774193548387,24.696806451612904
2023,Purba Medinipur,2.89,2023,0.04471428571428572,0.2561086956521739,2.3294193548387097,1.1220322580645161,28.350464285714285,23.439043478260867,29.31716129032258,22.90083870967742
2024,Purba Medinipur,2.9,2024,0.40289655172413796,0.5882826086956521,1.1823225806451614,0.29706451612903223,26.725517241379308,21.62363043478261,29.807258064516127,23.160096774193548
